TITLE,Description,URL,cluster_num
Chief public health officer warns of pandemic 'fatigue' as COVID cases surge among young people,"People under the age of 39 account for over 60 per cent of new cases reported this week, Dr. Theresa Tam says",https://www.cbc.ca/news/politics/tam-young-people-covid19-virus-fatigue-1.5662206,1
"How risky is it to get a haircut, go to the gym? New gov't site has the answers","With both COVID-19 case counts and the number of risk-heavy activities open to Canadians on the rise, the government has set up a new tool for Canadians to gauge the risk levels of their plans outside the home.",https://www.ctvnews.ca/health/coronavirus/how-risky-is-it-to-get-a-haircut-go-to-the-gym-new-gov-t-site-has-the-answers-1.5037897,2
Dr. Tam doubles down on warnings to young Canadians amid rise in coronavirus cases,Dr. Tam doubles down on warnings to young Canadians amid rise in coronavirus cases,https://www.theglobeandmail.com/canada/article-dr-tam-doubles-down-on-warnings-to-young-canadians-amid-rise-in/,1
Trudeau and Morneau should resign or risk snap election: opposition,"Opposition parties are ratcheting up their calls for Prime Minister Justin Trudeau and Finance Minister Bill Morneau to resign, with the Conservatives and Bloc Quebecois saying that the Liberals could be facing a fall election, if actions beyond their apologies over their roles in the WE Charity controversy arent taken.",https://www.ctvnews.ca/politics/trudeau-and-morneau-should-resign-or-risk-snap-election-opposition-1.5037639,0
"Scheer says Trudeau, Morneau need to step aside 'for the good of the country'","Conservative Leader Andrew Scheer said today that Prime Minister Justin Trudeau and Finance Minister Bill Morneau need to ""step aside for the good of the country"" over the WE Charity scandal.",https://www.cbc.ca/news/politics/scheer-trudeau-morneau-step-aside-1.5661717,0
Andrew Scheer calls on Justin Trudeau to resign over WE deal,Outgoing Conservative Leader Andrew Scheer says Prime Minister Justin Trudeau should resign over his role in the controversy involving the WE organization.,https://torontosun.com/news/national/andrew-scheer-calls-on-justin-trudeau-to-resign-over-we-deal/wcm/40c75cb2-c4c2-4931-b91c-31767b509fe7,0
Nova Scotia shooting: Victims' families upset over review of Canada shooting,"Families of victims of Canada's deadliest shooting have called a planned review of the April incident ""wholly insufficient"".",https://www.bbc.com/news/world-us-canada-53530262,1
NULL,NULL,NULL,1
NULL,NULL,NULL,1
NULL,NULL,NULL,1
NULL,NULL,NULL,1
NULL,NULL,NULL,1
NULL,NULL,NULL,1
